# Разрез Search Console по page, окно 2026-06-19..2026-09-16. Показов в разрезе 20581 из 19742 в итоге (104%): остальное Google не отдаёт по анонимизации, и это не потеря данных, а её предел
# Снято ботом 2026-09-17. Правки руками будут стёрты следующим прогоном.
site,page,impressions,clicks,ctr,position
gspaytables,https://gspaytables.com/states/minnesota/,41,0,0.0,11.2
gspaytables,https://gspaytables.com/states/nebraska/,1,0,0.0,8.0
gspaytables,https://gspaytables.com/states/nevada/,13,0,0.0,8.8
gspaytables,https://gspaytables.com/states/new-york/,104,0,0.0,19.5
gspaytables,https://gspaytables.com/states/no-locality-area/,4,0,0.0,3.5
gspaytables,https://gspaytables.com/states/ohio/,36,0,0.0,9.5
gspaytables,https://gspaytables.com/states/rhode-island/,54,0,0.0,8.6
gspaytables,https://gspaytables.com/states/texas/,54,0,0.0,14.8
gspaytables,https://gspaytables.com/states/virginia/,152,0,0.0,14.2
gspaytables,https://gspaytables.com/states/washington/,34,0,0.0,20.4
gspaytables,https://gspaytables.com/states/wisconsin/,56,0,0.0,8.5
gspaytables,https://gspaytables.com/terms/,1,0,0.0,10.0
gspaytables,https://www.gspaytables.com/gs-13/,5,0,0.0,1.0
mileagecurve,https://mileagecurve.com/jeep-cherokee-2014-2023/,17,2,11.76,14.8
mileagecurve,https://mileagecurve.com/ford-mustang-1994-2004/,8,1,12.5,5.5
mileagecurve,https://mileagecurve.com/hyundai-sonata-2015-2019/,13,1,7.69,35.1
mileagecurve,https://mileagecurve.com/nissan-maxima-1995-1999/,18,1,5.56,34.9
mileagecurve,https://mileagecurve.com/nissan-maxima-2016-2023/,48,1,2.08,34.9
mileagecurve,https://mileagecurve.com/subaru/,21,1,4.76,23.8
mileagecurve,https://mileagecurve.com/toyota-camry-2018-2024/,16,1,6.25,30.7
mileagecurve,https://mileagecurve.com/,21,0,0.0,2.6
mileagecurve,https://mileagecurve.com/about/,13,0,0.0,6.8
mileagecurve,https://mileagecurve.com/acura-mdx-2014-2020/,1,0,0.0,98.0
mileagecurve,https://mileagecurve.com/acura/,54,0,0.0,56.4
mileagecurve,https://mileagecurve.com/audi-a4-2009-2016/,12,0,0.0,21.9
mileagecurve,https://mileagecurve.com/bmw-3-series-1999-2005/,8,0,0.0,54.6
mileagecurve,https://mileagecurve.com/bmw-3-series-2006-2011/,2,0,0.0,42.5
mileagecurve,https://mileagecurve.com/buick-lacrosse-2005-2009/,33,0,0.0,23.0
mileagecurve,https://mileagecurve.com/buick-lacrosse-2010-2016/,3,0,0.0,6.3
mileagecurve,https://mileagecurve.com/buick/,1,0,0.0,1.0
mileagecurve,https://mileagecurve.com/cadillac-escalade-2007-2014/,3,0,0.0,3.0
mileagecurve,https://mileagecurve.com/cadillac-escalade-2015-2020/,2,0,0.0,6.0
mileagecurve,https://mileagecurve.com/cadillac/,32,0,0.0,57.7
mileagecurve,https://mileagecurve.com/chevrolet-camaro-2016-2024/,6,0,0.0,4.8
mileagecurve,https://mileagecurve.com/chevrolet-cobalt-2005-2010/,5,0,0.0,36.0
mileagecurve,https://mileagecurve.com/chevrolet-colorado-2004-2012/,9,0,0.0,7.3
