# Перепись индексации по адресам карты сайта; обновляется ПО КРУГУ, у каждого адреса своя дата проверки. Считать по verdict (enum), НЕ по coverage: coverage — человекочитаемая строка без объявленного набора значений
# Снято ботом 2026-09-08. Правки руками будут стёрты следующим прогоном.
site,url,verdict,coverage,fetch_state,robots,last_crawl,checked
gspaytables,https://gspaytables.com/promotion/gs-8-to-gs-9/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-01,2026-09-08
gspaytables,https://gspaytables.com/promotion/gs-9-to-gs-10/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-28,2026-09-08
gspaytables,https://gspaytables.com/promotion/gs-10-to-gs-11/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-31,2026-09-08
gspaytables,https://gspaytables.com/promotion/gs-11-to-gs-12/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/promotion/gs-12-to-gs-13/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/promotion/gs-13-to-gs-14/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/promotion/gs-14-to-gs-15/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/promotion/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-04,2026-09-08
gspaytables,https://gspaytables.com/how-locality-pay-works/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/about/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-04,2026-09-08
gspaytables,https://gspaytables.com/contact/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-01,2026-09-08
gspaytables,https://gspaytables.com/methodology/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/privacy/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/terms/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/pay-raise/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-03,2026-09-08
mileagecurve,https://mileagecurve.com/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-03,2026-09-08
mileagecurve,https://mileagecurve.com/vehicles/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-21,2026-09-08
mileagecurve,https://mileagecurve.com/methodology/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-28,2026-09-08
mileagecurve,https://mileagecurve.com/about/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-27,2026-09-08
mileagecurve,https://mileagecurve.com/privacy/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-27,2026-09-08
mileagecurve,https://mileagecurve.com/contact/,NEUTRAL,URL is unknown to Google,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,2026-09-08
mileagecurve,https://mileagecurve.com/terms/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-31,2026-09-08
mileagecurve,https://mileagecurve.com/acura/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-28,2026-09-08
mileagecurve,https://mileagecurve.com/audi/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-05,2026-09-08
mileagecurve,https://mileagecurve.com/bmw/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-01,2026-09-08
mileagecurve,https://mileagecurve.com/buick/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-31,2026-09-08
mileagecurve,https://mileagecurve.com/cadillac/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-29,2026-09-08
mileagecurve,https://mileagecurve.com/chevrolet/,NEUTRAL,Discovered - currently not indexed,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,2026-09-08
mileagecurve,https://mileagecurve.com/chrysler/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-04,2026-09-08
mileagecurve,https://mileagecurve.com/dodge/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-28,2026-09-08
